Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10066.WHB6650.unmapped-both-read-and-mate	2515.0	424.0	nan	nan	11018.0
MUX10067.WHB6651.unmapped-both-read-and-mate	2672.0	508.0	6.0	nan	9180.0
MUX10067.WHB6653.unmapped-both-read-and-mate	4356.0	441.0	nan	nan	10154.0
MUX10067.WHB6654.unmapped-both-read-and-mate	2836.0	506.0	2.0	2.0	11606.0
MUX10067.WHB6656.unmapped-both-read-and-mate	1428.0	537.0	1.0	1.0	9666.0
MUX10067.WHB6657.unmapped-both-read-and-mate	1931.0	527.0	2.0	1.0	9943.0
MUX10068.WHB6655.unmapped-both-read-and-mate	2140.0	379.0	nan	nan	9111.0
MUX10068.WHB6658.unmapped-both-read-and-mate	2077.0	410.0	1.0	nan	11201.0
MUX10068.WHB6659.unmapped-both-read-and-mate	2488.0	418.0	1.0	nan	10162.0
MUX10068.WHB6660.unmapped-both-read-and-mate	3212.0	430.0	nan	nan	12686.0
MUX10068.WHB6662.unmapped-both-read-and-mate	2506.0	433.0	nan	nan	10030.0
